Summary,Sentiment,Summary_len
"[purchas, lot, discuss, review, would, say, best, give, comfort, need, best, 2nd, thought, nice, cool, low, nois, hope, energi, effici, use, long, run]",positive,43
"[nice, cooler, cool, good, nois, review, lot, purchas, want, effect, cool, set, window, cross, ventil, without, cross, ventil, make, environ, humid, lookwis, nice, materi, strong]",positive,56
"[feedback, given, use, one, week, cooler, amaz, make, whole, room, cool, instal, cooler, near, window, deliveri, time, well, deliveri, boy, also, support]",positive,38
"[great, deal, sixtyf, l, quit, big, tank, suffici, cool, one, medium, size, room, three, mode, work, well, best, rang]",positive,22
"[bought, cooler, heavi, discount, flipkart, cooler, build, good, qualiti, materi, fast, fan, powerful, motor, pump, air, qualiti, excel, even, big, room, must, buy, valu, money, product]",positive,41
"[good, things1, well, pack, good, amount, thermocol, protect, transport, damages2, sturdi, body3, rel, less, nois, compar, bajaj, cooler, earlierwish, betterfor, mani, purpos, necessari, open, cooler, bodi, open, bodi, cooler, intuit, common, consum, may, even, attempt, fear, damag, someth, one, easi, open, side, frame, chang, pad, clean, water, inlets2, water, balloon, use, cut, water, suppli, au]",positive,82
"[excel, producthappi, resultnic, air, flowosm, cool]",positive,7
"[cooler, work, fine, invert, friendli]",positive,8
"[small, wire, moter, capac, low, fan, speed, good, flow, vent, hole, lower, part, cooler, difficult, chang, water]",negative,30
"[perfect, product, larg, size, room]",positive,6
"[averag, cool, much, expect, size, review, cooler, cool, suffici, maharaja, whitelin, work, cool, effici, reduc, size, width, increas, height, maintain, tank, capac]",positive,36
"[product, amaz, cool, capac, awsum, pl, go, ahead, big, thumb]",positive,14
[good],positive,1
"[receiv, dalay, ten, day, cooler, ok, reveiv, switch, damag]",negative,13
"[big, onework, good, 2day, use, hope, work, long, run]",positive,12
"[good, product, nice, air, flow, noic]",positive,8
"[price, good, cooler]",positive,5
"[good, mani]",positive,4
"[awesom, product, light, weight, easi, use, lot, featur]",positive,15
"[product, does, nt, cool, rate, custom, cool, slow, wrost, product, recommend, buy, item, wastag, money]",positive,27
"[look, like, monster, cooler, work, awesom]",positive,9
"[nice, product, thank, flipkart]",positive,6
[good],positive,2
"[good, cooler, occupi, space, look, larg, good, hall, cover, place]",positive,18
"[impress, coolerpro, stylish, energi, effici, one, hundr, sixtyf, watt, good, air, throw, cool, summers, pumpcon, bulki, take, place, wheel, lack, ice, box]",positive,32
"[best, cooler, bought, six, thousand, eight, hundr, eightyfour]",positive,10
"[excel, cooler, price, rangepros1, air, throw, power, even, u, run, slow, speed, set, two, cool, tank, capacity3, ergonom, cons1, want, clean, cooler, open, pad, cumbersom, process, place, flat, surfac, also, drain, old, water, difficult, overal, v, good, cooler, apart, con, consid, price]",positive,71
"[cooler, provid, cool, air, 1year, experi]",negative,8
"[good, product, budget]",positive,5
"[packag, excel, valu, money, product]",positive,6
"[deliv, within, two, day, work, good]",positive,6
"[effici, larg, roomspros1, low, nois, fan2, invert, friendly3, cool, larg, room, fastli, easily4, aroma, chamber, add, tablet, frangranc, counter, smell, woodwool, pads5, two, section, air, flow, mean, adjust, get, air, doubl, decker, cot, equallycons1they, provid, stand, castor, wheel, move2, ice, chamberwil, updat, futur]",positive,77
"[better, steel, cooler, less, nois, valu, money]",positive,11
"[do, nt, buy, maharaja, whitelin, cooler, cheap, aluminum, motor, good, max, two, year, repair, cost, motor, high, u, would, want, sell, rather, repair]",positive,36
"[nice, product, deliveri, satisfi]",positive,7
"[qualiti, product1, wood, wool, start, fall, next, day2, two, led, indic, found, work, arrival3, air, swinger, alreadi, give, nois, move, never, use, old, cooler, use, sinc, three, years4, qualiti, way, machin, brand, coolers5, anti, bacteri, tank, bacteri, way, clean, congest, maintain, cleanlyin, way, think, buyac, option, aut]",negative,90
"[air, throw, good, make, room, cool, half, hour, full, tank, capac, sixtyf, litr, stay, five, hour, make, big, live, room, colder, much, noisi]",positive,37
"[time, deliveri, receiv, exact, productthank, u, flipkart]",positive,8
"[maharaja, alway, one]",positive,4
"[awesom, product, love]",positive,4
"[poar, qualiti, plastic, materi, good]",negative,7
"[valu, money]",positive,3
"[nice, cooler]",positive,2
"[fantast, product, great, cool]",positive,4
"[do, nt, buy, se, comment, do, nt, know, peopl, review, rate, product, cool, ok, come, fill, water, would, need, inlet, pipe, fill, water, can, not, open, backsid, fill, waterclean, highli, imposs, way, open, clean, worst, design, small, small, brand, compani, provid, facil, worst, product, design, total, unhappi, product]",negative,81
"[best, price]",positive,4
"[review, use, product, week1air, throw, good2produc, less, noise3good, product, reason, pricebut, never, open, behindnot, easi, cleanrefil, waterc, short]",positive,32
"[cool, fan, problem]",negative,3
"[discount, rs, seven, thousand, two, hundr, price, okqual, okdeliveri, time, okmotor, speed, one, thousand, two, hundr, rpm, okpump, okcolour, ok, look, also, okwat, storag, appx, sixtyf, ltd, three, larg, bucket, okstil, give, three, star, larg, size, width, fit, window, expectedwil, give, next, rate, coupl, month, usagethanx, flipkart]",positive,71
"[product, realli, worthi, price, 8k, howev, occupi, space, room, one, consid, buy, worth, money]",positive,25
"[mind, blow, good, hall, big, wondow, realli, big, size, qualiti, nice, must, buy]",positive,20
"[good, suffici, size]",positive,4
[awesom],positive,1
"[good, product]",positive,2
"[best, product]",positive,2
[good],positive,2
"[good, product, deliveri, time]",positive,5
"[nice, product, deliv, time]",positive,5
"[honestli, like, productbest, desert, cooler, lowest, price, got, deal, 6889nice, brand, good, built, qualiti, precis, eachgood, switch, knob, controltak, space, hugeveri, silentnot, high, good, speed, fan, cool, upto, upto, twelv, feetno, ice, tray, mattergo]",positive,54
"[do, nt, buy, product, within, fifteen, year, wind, blade, broken, nois, issu, wind, blow, low, better, go, brand]",negative,24
"[awesom, product]",positive,2
"[good, product]",positive,3
"[valu, money]",positive,3
[nice],positive,2
"[worst, product, fan, speed, slowlik, noth]",negative,7
"[best, product]",positive,2
"[big, size, mostli, like, industri, cooler, within, price, hous, big, perfect, wheel, buy, stand, work, fine, close, home, less, space, go, option]",positive,40
"[bad, servic, flipkart, custom, care, repres, jeev, agent, much, bad, perform, cool, like, stand, fan]",negative,22
"[oh, realli, realli, good, happi]",positive,9
"[low, air, cool, axcpect]",negative,7
"[super, cool, system]",positive,3
"[nice, work]",positive,3
"[excel, perform]",positive,2
[good],positive,1
"[wonder, product, go]",positive,6
"[realli, desert, cooler, super, cool]",positive,5
"[good, product, water, flow, must, slow, pump, okay]",positive,13
"[water, inlet, good]",negative,5
[awesom],positive,1
"[owsum, product]",positive,2
[good],negative,3
"[cooler, realli, good, use, cooler, ventil, os, must, without, ventil, cooler, work, especi, raini, seasonproduct, origin, deliv, safe, review, week]",positive,34
"[ice, product]",positive,2
"[work, motor, bad, poor, maharaja, cooler]",negative,9
"[good, product, worth, buy]",positive,5
"[good, product]",positive,2
"[fan, speed, slow, make, lot, nois]",positive,9
"[nice, cooler, perfect, hall]",positive,5
"[good, cool]",positive,3
"[averag, product]",neutral,2
[awesom],positive,1
[awesom],positive,1
"[nice, product]",positive,2
"[good, aircoolr]",positive,2
[nice],positive,1
"[good, condit, best, cool]",positive,4
"[good, product]",positive,2
[good],positive,1
"[superb, nice, coolingsimpli, awesom, unbeat, price, rang]",positive,9
"[build, qualiti, better, symphoni, jumbo, 70howev, cool, bit, lesser, nois, bit, symphoni, jumbo, 70a, larger, tank, capac, nineti, thousand, one, hundr, ltr, aspen, pad, desir]",positive,36
"[product, qualiti, bad, fan, blade, broken, air, flow, averag]",negative,12
"[good, product]",positive,2
"[nice, product]",positive,2
[amaz],positive,1
"[cooler, cool, room]",negative,8
[excel],positive,1
"[cool, system, good]",positive,4
"[speed, cooler, slower, fan, one, week, use]",positive,12
"[awesom, big, room]",positive,4
"[cooler, good, sige, big, coll, good, prise, 6500the, cooler, good, air, speed, lowmak, littl, nois, good, watch]",positive,28
"[good, product]",positive,2
"[speed, slow]",neutral,4
"[good, product, respect, one, best, desert, cooler, market, final, thank, flipkart, product, design, manufacturersit, look, simpl, cool, effect, amag]",positive,32
[good],positive,2
[awesom],positive,1
"[satisfi, cool, bad, cool]",negative,8
"[think, small, big, coll, excel]",positive,14
"[nice, product, happi]",positive,6
"[like, good]",positive,6
[good],positive,1
"[product, good, product, deliv, time]",positive,12
[nice],positive,2
"[expect, fit, 150sqft, room, cool, air]",positive,9
"[fan, speed, low, proper, cool]",positive,8
[excel],positive,1
"[good, big]",positive,5
"[superb, cooler, cool, room, within, five, minut, amaz, cooler, amaz, price]",positive,12
"[good, qualiti, product, drain, system, need, improv]",positive,7
"[best, cooler, market]",positive,4
"[smart, cool, use, cooler, fan, speed, one, feel, like, winter, thank, maharaja]",positive,17
[thank],positive,1
"[fantast, product, thank, maharaja, filpcart]",positive,5
[awesom],positive,1
"[useless, servic]",negative,3
[good],positive,1
"[occupi, space, worth]",positive,6
"[nice, cooler, strong, qualiti, built, use, last, two, month]",positive,13
"[ur, stay, hot, citi, wast, do, nt, buy]",negative,11
[excel],positive,1
"[cooler, good, dirti, smell]",negative,7
"[effect, cool, fan, area, effect, also, narrow, ideal, return]",negative,15
"[built, qualiti, mark, overal, avearg]",neutral,10
[awesom],positive,1
"[bad, product, water, tank, suffici, day, tank, empti, four, hour, open, easili, clean]",negative,23
"[wrost, cooler, ever, purchas, even, ten, feet, throw, build, qualiti, upto, mark, purchas, anoth, good, brand, cooler, instead]",positive,23
"[good, work, maharaja]",positive,4
"[nice, cooler, go]",positive,7
[fabul],positive,1
"[valu, money]",positive,3
"[cool, late, n, water, come, slowli]",neutral,8
"[good, wash, cooler, tension]",positive,9
"[nice, product]",positive,2
"[fan, speed, low, great, cool]",positive,7
"[good, cooler, big, room, water, last, full, night, work, best, cross, ventil, highli, recommend]",positive,16
"[good, smooth, work, function, good, wood, grass, side, bad, improv, side, honeycomb, cool, pad]",positive,21
"[wast, money]",negative,3
"[god, air, thorw, god, qualiti, accept]",negative,9
"[cheap, best, cooler, even, good, extrem, summer]",positive,9
"[nice, product]",positive,2
[happi],positive,4
[nice],positive,1
"[air, throw, weak]",negative,3
[super],positive,1
"[much, big, size]",neutral,4
[best],positive,1
"[awsm, cool, beat, mani, expens, brand, cooler, price, also, decent, compar, cooler]",positive,17
[good],positive,1
"[big, coolerair, throw, good, cool, also, good, build, materi, sturdi, water, inlet, shuld, littl, bit, big, overal, satisfi, product]",positive,29
"[good, cool, low, nois, better, daili, chang, water, avoid, smell, separ, water, hose, requir, water, load]",positive,19
"[good, qualiti]",positive,2
"[good, time, deliveri, beauti, organ, flipcortthank]",positive,10
"[bad, product, bad, qualiti, low, air, flow, use, product, waist, money, one, hundr, time, think, purchas, product, product, r, refund, flipkart, assist, misguid]",negative,31
"[deliveri, product, amaz, usual, deliveri, person, also, help]",positive,15
"[write, review, use, four, day, cooler, nice, size, jumbo, cool, start, room, night]",positive,29
"[give, four, star, deserv, ten, nine, cut, one, star, due, stand, water, indic, stand, n, water, indic, includ, becom, best, nice, air, cool, super, design, power, air, throught, rang, sound, overal, worth, buy]",positive,50
"[nice, product]",positive,2
"[ye, quit, goodyou, go, nice, deliveredthank, flipkart]",positive,12
"[valu, money]",positive,3
[good],positive,2
"[poor, product, heavi, smell, room, receiv, damag]",negative,12
[ok],neutral,1
"[aw, product, healthi, price, worth, buy]",positive,11
[nice],positive,2
"[vari, buy, cool, onlin, can, not, check, airflow, fault, purchas, cooler, realli, chang, mind, extens, research, watch, review, end, select, beast, cooler, airflow, absolut, amaz, sizzl, weather, cooler, realli, throw, cool, air, one, advic, alway, keep, cooler, fulli, ventil, area, like, outsid, window, see, great, work, great, purchas]",positive,90
[nice],positive,1
"[good, product, nice, cool]",positive,6
"[good, one, less, nois]",positive,5
[good],positive,1
"[greatwork, like, ac]",positive,5
"[best, coolerlow, nois, better, cool]",positive,6
[super],positive,1
"[deliv, product, time, demo, done, even, two, week, amount, alreadi, deduct, complaint, rais, drag, done, twentyfour, hour, mani, twentyfour, fortyeight, hour, gone]",negative,43
"[awaesom, cooler, better, symphoni]",positive,7
"[flipkart, deliveri, nice, product, time, good]",positive,10
"[cooler, good, cool, bestthank, flipkart]",positive,9
"[good, one]",positive,2
"[nice, product, cool, air]",positive,4
"[best, air, cooler]",positive,3
"[use, one, week, extrem, condit, feel, cooler, work, fine, strongli, recommend, buy, product]",positive,21
"[look, good, purchas, econom, tge, power, cord, five, meter, six, meter, length, instead, exist, two, meter, given, huge, size, desert, cooler]",positive,30
"[best, small, famili]",positive,4
"[extrem, horribl, servicedo, order]",negative,5
"[extrem, good, productgood, product, lower, floor, good, top, floor]",positive,14
"[verri, good, indian, fast, desert, coolar, verey, verri, nise, product]",positive,10
"[air, cooler, better, i, m, happi, reciv, product]",positive,9
"[good, product]",positive,2
"[found, insid, fan, bed, fix, properli, also, bolt, nut, fall, insid, rema, ok]",positive,19
"[nice, product]",positive,2
"[awesom, product]",positive,2
"[good, cooler]",positive,2
"[good, product, first, day, fell, floor, tabl, full, water, qualiti, product, good, still, work, thankyou, flipkart]",positive,28
"[fantast, cool]",positive,2
"[nice, cool]",positive,2
"[pleas, share, good, oper, manual, suppos, flush, water, noth, like, mention, also, dismantl, back, need, specialist, pleas, design, way, even, elder, oper]",positive,33
"[worst, product, do, nt, wast, money]",negative,6
"[excel, product]",positive,2
"[nice, cooler, awesom, product]",positive,4
"[blade, cooler, fan, broken]",negative,6
"[air, deliveri, bad, even, cool, 10x13, room]",negative,10
[nice],positive,2
"[perform, reduc, two, month]",neutral,5
"[expect, iam, happi, usual, excel, flipkart, servic]",positive,14
"[worst, model, user, pleas, do, nt, buy]",negative,7
[good],negative,2
[super],positive,1
"[nice, product]",positive,2
"[overal, good, product, con, come, without, stand]",positive,7
"[good, product, nd, fast, deliveri]",positive,5
"[good, bt, without, wheel, stand, difficult, move]",negative,10
"[best, product, resion, price]",positive,5
[ok],neutral,3
[good],positive,1
"[nice, product]",positive,2
"[cole, best, anoth, cooler]",positive,5
"[coolar, good, suggest, think, wheel, also, provid, coolar, easi, movement]",positive,16
"[good, go]",positive,3
"[huge, size, cool, good, feel, air, like, normal, fan]",positive,13
[awesom],positive,1
[worst],negative,1
"[cooler, chill, room, fast]",positive,6
"[good, size, big]",positive,7
"[huge, secondli, good, ac, problem, can, not, control, cool, good, one, thousand, five, hundr, sqft, hous]",positive,30
"[perfect, daughter, marriag, item, doubt, big, room, cooler]",positive,18
"[amaz, product, work, wonder, 45c, alway, go, wood, woolen, pad, theyr, better, honeycomb]",positive,19
"[good, product, do, nt, think, much, go, absolut, valu, money]",positive,14
"[big, move, problemat, would, easier, clean, side, panel, easili, remov, decent, job, cool, room]",positive,29
"[good, product]",positive,2
"[good, product, onlin, well]",positive,9
[good],positive,1
"[poor, qualiti, product, do, nt, buy]",negative,9
"[good, price]",positive,3
"[good, product]",positive,3
"[excel, cooler, happi]",positive,5
"[good, product, low, price, second, plastic, cooler, happi, cool, featur, futur, definit, buy, recommend, other, also, thank, flipkart]",positive,35
"[worst, product]",negative,2
"[plastic, qualiti, strong, symphoni, cooler]",negative,10
"[good, product]",positive,3
"[upto, review, build, level, bulki, quit, noisi, lack, wheel, biggest, disadvantag, buy, risk, happi, overal]",negative,25
"[nonetheless, give, feel, ac]",negative,7
"[product, cool, much, written, advertis, happi, product]",negative,22
[good],positive,1
"[yup, satisfi]",positive,2
"[air, flow, good]",negative,6
"[stand, littl, noisi, cooler]",negative,6
"[nice, product]",positive,3
"[good, onebut, still, sound, gener, cooler, noisymust, buy, stand, cooler]",positive,15
"[nice, product, thank, flipkart, earli, deliveri, special, thank, deliveri, boy, gentl, behaviour]",positive,16
"[nice, product, decent, price]",positive,5
"[prompt, deliveri, satisfi, valu, money]",positive,6
"[awesom, cooler]",positive,3
[good],positive,1
"[good, product, drawback, clean, nob, bottom, avail, drain, water, help, do, nt, trolley]",positive,28
"[excel, product, water, consumpt, good, anyon, plan, buy, cooler, recommend, rambo]",positive,18
"[best, cooler, heavi, duti, stong, bodi]",positive,6
"[good, product]",positive,2
"[product, good, qualiti, product, also, goodthank, flipkart, provid, safe, time, deliveri]",positive,18
[cool],negative,2
"[expect, speed, cool, product]",negative,8
"[wheel, move, coolerit, hard, place, cooler, fill, waterhorr, experiencedont, go]",negative,19
"[one, two, small, neglig, issu, otherwis, product, good, complet, cool, room]",positive,17
"[fantast, coolar, nice, cool, like, ac]",positive,6
"[nice, product, cool, speed, good]",positive,7
[good],positive,1
"[nice, cool, nice, product, bodi, is, nt, properli, fit]",neutral,9
"[superb, cooler, price]",positive,5
[awesom],positive,1
"[pleas, do, nt, buy, productaft, one, month, fan, work, properbuy, blower, fan, cooler, blower, fan, cooler, best]",positive,20
"[nice, cooler, cool, awesom]",positive,4
"[nice, product]",positive,3
"[super, cool]",positive,2
"[excel, product]",positive,2
"[nice, prodouct]",positive,2
"[excel, air, cooler]",positive,3
"[overal, goodbut, warranti, card, three, month, ago]",neutral,8
"[good, air, cooler, valu, money, sound, less, build, qualiti, need, improv]",positive,16
"[super, good, product]",positive,4
"[nice, one, need, ac]",positive,6
"[fantast, cooler, rang, chill, expect]",positive,9
[good],positive,1
"[simpl, super]",positive,2
"[good, product]",positive,2
"[work, great, three, side, cool, pad, increas, effici, fan, speed, airflow, amount, could, better, difficult, put, water, front, lot, design, flaw, price, point, better, brand, product, optim, comfort, cool, cooler, need, put, outsid, room, open, space, near, window, wellventil, room]",positive,70
"[awesom, product, possibl, pl, provid, wheel, stand, product]",positive,10
"[good, product, draw, back, space, put, ice]",positive,14
"[unabl, open, chang, water, grass]",negative,8
"[nice, product, good, blower, fast, cool, real, satisfact, money]",positive,13
"[do, nt, buy, one]",negative,4
"[built, qualiti, good, fan, much, power, expect, good, small, room, go, return]",positive,24
"[best, air, cooler, within, 8k, price, tag]",positive,9
"[cool, perfect]",positive,3
"[good, qualiti]",positive,2
"[awesom, everythingvalu, moneynic, cool]",positive,6
"[cooler, jabardast, honeycomb, pad]",neutral,7
"[good, product, price]",positive,6
"[minimum, price, maximum, perform]",positive,4
"[fantast, product, low, price, go, without, hesit]",positive,11
[superb],positive,1
"[nicecool, goodsiz, big]",positive,5
"[nice, product]",positive,2
"[first, thing, cooler, silent, lowest, speed, nois, minimalsecond, thing, equival, one, million, fifteen, thousand, price, cooler]",negative,26
"[nice, product, satisfi, order]",positive,8
"[want, give, five, handl, huge, cooler, atleast, wheel, bottom, unfortun, avail]",positive,22
"[nice, product]",positive,2
"[awesomeproductbest, cool]",positive,2
"[nice, product]",positive,4
"[product, work, defect, pleas, return]",positive,7
"[best, perform, minimum, soundthanku, flipkart]",positive,6
"[superb, go]",positive,4
[wonderful],positive,1
"[good, productdeliv, day]",positive,5
"[doubt, good, price]",negative,8
"[awesomeful, satisfi]",positive,2
"[excel, cool, price, rangedeliv, per, date, expect]",positive,11
[good],positive,1
"[veri, nice, desert, cooler, size, cooler, exceed, expect, time, deliv]",positive,13
"[thank, u, flipcart, quick, deliveri]",positive,6
"[thank, flipcart, fast, deliveri, boy, corona, precaut, best, cooler, need, give, plug, wire, stand, cooler, feel, like, ac]",positive,30
"[do, nt, buy, product, total, wast, money, time, fan, speed, slowli, decreas, cool, good, consist]",negative,21
"[one, best, cooler, good, use, plastic, meterialbest, cool]",positive,10
"[good, product]",positive,3
"[valu, money, good]",positive,4
[good],positive,2
"[good, man]",positive,2
"[superb, cool]",positive,2
[super],positive,1
"[perfect, cooler, name, maharaja, give, cool, air, hot, dri, climat]",positive,16
"[super, cool, qualiti]",positive,4
"[excel, team, safe, hygien, deliveryproduct, work, realli, great]",positive,8
"[noiselessair, pressur, n, speed, awesomecool, like, acreal, worth, product, colour, design, r, decent]",positive,15
"[product, good, behavior, deliveri, boy, also, good, nice, product, flipkart, thankyou]",positive,16
"[nice, product, price]",positive,5
"[cool, best, minimum, sound, fan, speed, goodbut, part, cooler, missingno, servic, avaialblew, call, flipcart, did, nt, respond, properli, final, got, spare, part, local, servic, shop]",positive,32
"[low, nois, high, capac, big, inner, space, cool]",positive,10
"[good, product, nice, coolingbut, accupi, larg, place, suitabl, hall]",positive,13
"[best, cooler, got, 7k]",positive,7
"[good, stand, that, much, desopoint]",negative,10
[cool],positive,2
"[nice, cooler]",positive,2
"[excel, big, sound, compar, other, cooler]",positive,10
"[nice, product, go, without, second, thought, far, better, seventi, l, also, pad, wood, wool, better, hone, bee, chill, room, within, fifteen, min, purchas, blidenli]",positive,35
"[nice, cooler, rang]",positive,5
"[cooler, good, nice, coolingnic, servic, nice, cooll]",positive,9
"[cooler, cool]",positive,4
"[everyth, superbonli, does, nt, wheel]",positive,11
"[nice, cooler]",positive,2
"[excel, cooler, receiv, two, day, back, make, room, cool, even, mumbai, deliveri, boy, also, polit, prompt, deliveri]",positive,25
"[good, water, leak, one, month, return, period]",negative,9
"[good, produt]",positive,2
[good],positive,1
"[afford, best, qualiti]",positive,4
[good],positive,1
[excel],positive,1
"[support, shell, warranti]",negative,5
[thank],positive,1
"[good, cool, minimum, power, consumpt, good]",positive,8
"[good, product, instruct, difficult, clean, think, better, give, instruct, open, usag, also]",positive,25
[super],positive,1
"[amaz, purchas]",positive,2
[ok],neutral,1
"[rh, level, get, room, may, due, wooden, cool, padsentir, human, bodi, get, sweatloc, made, better, thiswast, money]",positive,24
"[send, damag, product, do, nt, buy]",negative,5
"[great, product]",positive,2
"[excel, cooler, excel, air, flow, super, cool, almost, silenc, functionsturdi, bodysmart, look, coolerthank, maharaja, white, line, flipkart]",positive,19
"[take, lot, water]",positive,6
"[nice, best, cooler, must, buy]",positive,6
"[simpli, awesom, one, go]",positive,10
"[plastic, bodi, weak, rest, everyth, good]",positive,8
"[overal, product, good, problem, move, cooler, does, nt, wheel, also, water, inlet, provid, bottomnic, product]",positive,25
"[superb, cool]",positive,2
"[one, best, best, product]",positive,6
"[good, cool]",positive,2
"[happi, purchas, qualiti, product, good]",positive,13
"[nice, product]",positive,2
[nice],positive,1
"[built, solid, cool, super, effect, water, indic, fan, sturdi, well, use, sinc, day, overal, quit, satisfi, until, proper, desert, cooler, power]",positive,31
"[nice, product]",positive,3
"[size, big, guuz, much, bigger, expect, occupi, 2man, sit, place]",neutral,15
"[good, boss, happyi, purchas, 6434r, 31mayi, recomd, product, air, cooler, larg, pl, saw, imag, purchas]",positive,31
"[fan, speed, maximum, three, hoursthen, slow, action, speedcustom, care, support, badnot, responcedont, buyu, think, buy, brand]",positive,18
[good],positive,1
[good],positive,2
[perfact],positive,1
"[nice, cooler]",positive,2
"[nice, cooler, use, constant, seven, day, today, i, m, write, itit, worth, money]",positive,16
"[nice, cooler, price]",positive,5
"[good, exact, expect]",positive,7
[big],neutral,2
"[nice, product, big, sizeworth, money, fast, deliveri]",positive,8
[ok],neutral,2
[worth],positive,2
"[nice, cooler]",positive,2
"[v, good, cooler]",positive,3
[love],positive,3
"[fast, deliveri, thank]",positive,5
[good],positive,1
"[good, item]",positive,2
"[work, well, cost, think, high, product, good]",positive,16
"[good, one]",positive,2
"[awesom, product, maharaja, whitelin]",positive,5
"[good, product]",positive,3
"[love, item, worth, seven, thousand, five, hundr, rupe, big, whatev, expect]",positive,18
"[product, good, got, suitabl, stand]",positive,7
"[nice, cooler]",positive,2
[good],positive,1
"[best, room]",positive,4
"[nice, super]",positive,2
"[good, cooler]",positive,2
"[nice, recommend]",positive,3
"[item, vri, bad, hate, flipcart, item, watch]",negative,11
"[good, productbuy, worst]",negative,3
"[power, best, workingi, like, size, issueveri, big, size]",positive,14
"[work, properlylik, cooler]",positive,4
"[nice, product, superb, cool, supersil]",positive,6
"[overal, product, nice, drawback, larg, size]",positive,13
[super],positive,1
"[good, cooler, feel, like, ac, summer]",positive,8
"[suitabl, one, man]",neutral,7
[love],positive,3
"[pleas, take, care, size, purchas, otherwis, product, great, buy, eight, thousand, two, year, extend, warranti]",positive,23
"[work, awesom, luv]",positive,5
"[good, product, expect, cool, room, expect, thank, flipkart, fast, deliveri, genuin, product]",positive,18
[worthi],positive,1
[good],positive,1
"[good, deliveri, valu, money, best, cooler, ever]",positive,8
"[built, qualiti, good, light, indic, cooler]",positive,13
"[god, qualiti]",positive,2
[good],positive,1
"[also, buy, without, hesit]",positive,7
"[nice, product, work, good]",positive,5
"[good, product]",positive,3
"[nice, product, valu, money]",positive,5
"[nice, cooler, give, cool, air, even, without, water, thought, made, brand, maharaja, whitelin, well, done, maharaja, whitelin, good, job, flipkart, deliv, big, applianc, without, damag]",positive,35
"[good, air, cooler]",positive,4
"[good, product]",positive,2
"[good, product]",positive,3
[nice],positive,2
"[good, item, nice, thank, flipkart]",positive,8
"[great, deal, perfect, cool]",positive,4
"[room, cool, cooler, through, normal, air]",neutral,10
"[awesom, product]",positive,2
"[cooler, realli, nice, light, bodi, decent, air, throw, real, valu, money]",positive,15
[gud],positive,1
"[good, preoduct, nice]",positive,4
"[best, volta, symphoni, brand, without, trolley, made]",positive,14
"[excel, cooler]",positive,2
"[speed, good, slow]",negative,5
"[good, qualiti]",positive,2
"[good, product]",positive,2
"[amaz, n, big, air, cooler, love]",positive,8
"[good, product]",positive,3
[nice],positive,1
"[use, month, result, good]",positive,9
"[good, product]",positive,2
"[fact, product, perform, good, occupi, lot, space, sinc, huge, sizesmal, room, difficult, accommod, also, fan, give, sound, sinc, motor, capac, power, even, low, speed, 1and, also, drain, point, bottom, cooler, difficult, drain, water, alway, need, lift, cleanchang, water, main, drawback, product, carri, stand, need, purchas, separatelyapart, everi, thing, pretti, w]",positive,87
"[awesom, product, go, genuin, price, affordablegood, work, low, nois, good, deliveri]",positive,13
"[wast, money, do, nt, buy]",negative,5
"[nice, work, great, coll, low, nois, cool, air, cool, hole, room, nice]",positive,20
[nic],positive,1
[nice],positive,2
"[good, product, u, r, searc, cooler, rang, best, product, good, cool, recommend]",positive,18
